事件ID,date,DPatentN,year,CAR,prov,Lev,lagROA,Cashflow,Growth,Indep,Age,R_D,HIPP,HF,CTO,Dealval,MajorMA,Relevance,DPatent,D_MA,Tar_Patent,Acq_Patent,DPAT_rate,MKT,ind2,CAR5,CAR10,CAR60,CAR90,CAR180,rank,eps,lageps,lag2eps,lag3eps,fweps,fw2eps,fw3eps,fwROA,LagLev,LagCashflow,LagGrowth,LagIndep,LagAge,LagR_D,LagMKT,LagAcq_Patent,Tar_Patent_limit,DPatent_limit,DPatent_ipc,Tar_Patent_ipc,indCAR3,Tar_Patent2,DPatent2,Tar_Patent3,DPatent3,Tar_Patent4,DPatent4,Tar_Patent5,DPatent5,dmanu,dserv,smanu,tmanu,tchem,AI,Security,Cloud,Big_Data,E_Chip,Commu_Network,DPatent_w,Tar_Patent_w,Tar_Patent_w2,DPatent_w2,Tar_Patent_w3,DPatent_w3,Tar_Patent_w4,DPatent_w4,Tar_Patent_w5,DPatent_w5,Tar_Patent_w_lim,DPatent_w_lim,DPatent_w_ipc,Tar_Patent_w_ipc,AI_w,Security_w,Cloud_w,Big_Data_w,E_Chip_w,Commu_Network_w
200000057321.0,2019-08-24,0.0,2019.0,-0.028940303,陕西省,0.47864544,0.031864,0.03244789,0.092746,0.33333334,2.7725887,0.0039,0.0,1.0,0.0,19.003695,0.0,0.0,0.0,0.0,0.0,2.3025851,0.0,15.711189,C25,0.022730254,0.0748304,0.10269668,0.106163,0.14168362,1.0,0.0421,0.3627,0.2529,0.2494,0.2765,0.9267,,0.027028,0.47864544,0.03244789,0.092746,0.33333334,2.7725887,0.0008,16.386284,4.6151204,0.0,0.0,0.0,0.0,0.007384417,1.7917595,0.0,1.7917595,0.0,1.7917595,0.0,1.7917595,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7917595,0.0,1.7917595,0.0,1.7917595,0.0,1.7917595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000061448.0,2020-06-13,0.0,2020.0,0.008072056,陕西省,0.49904278,0.00469,0.032628763,-0.103564,0.33333334,2.8332133,0.0002,0.0,0.0,0.0,21.192665,0.0,1.0,0.0,0.0,0.6931472,2.3978953,0.0,15.467113,C25,0.001093539,0.003448142,0.07527709,0.1086433,1.5466914,1.0,0.2765,0.0421,0.3627,0.2529,0.9267,,,0.091318,0.49904278,0.032628763,-0.103564,0.33333334,2.8332133,0.0039,15.711189,2.3025851,0.6931472,0.0,0.0,0.6931472,0.010777622,1.0986123,0.6931472,1.0986123,0.6931472,1.0986123,0.6931472,1.3862944,0.6931472,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3987761,0.6830968,0.3987761,0.6830968,0.3987761,0.6830968,0.3987761,0.90421814,0.3987761,0.3987761,0.0,0.0,0.3987761,0.0,0.0,0.0,0.0,0.0,0.0
200000018742.0,2013-03-29,0.0,2013.0,0.007359345,浙江省,0.22266033,0.078606,0.022072734,0.117346,0.33333334,1.609438,0.0,1.0,1.0,0.0,19.452993,0.0,1.0,0.0,0.0,0.0,2.1972246,0.0,17.30886,G55,0.018126804,-0.00981039,-0.13815592,-0.13508043,0.04497786,1.0,0.2337,0.2134,0.1965,0.1728,0.2356,0.2171,0.189,0.067165,0.22266033,0.022072734,0.117346,0.33333334,1.609438,,17.23625,0.6931472,,,0.0,0.0,0.004997988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000035970.0,2016-01-27,0.0,2016.0,-0.051281173,浙江省,0.288352,0.059927,0.05363252,0.231482,0.4,2.0794415,0.0013,1.0,0.0,0.0,21.826073,0.0,1.0,0.0,0.0,0.0,2.3025851,0.0,18.4642,G55,-0.11938988,-0.11183447,-0.35128048,-0.57350564,-0.8532758,1.0,0.189,0.2171,0.2356,0.2337,0.2169,0.2434,0.2885,0.045937,0.288352,0.05363252,0.231482,0.4,2.0794415,0.001,17.891012,2.0794415,,,0.0,0.0,-0.064985596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000049598.0,2018-03-23,0.0,2018.0,-0.027922815,江苏省,0.20926817,0.028839,0.07424446,-0.236882,0.42857143,2.944439,0.0,1.0,0.0,0.0,19.519293,0.0,0.0,0.0,0.0,0.6931472,2.0794415,0.0,15.77479,C33,0.059152212,0.059335556,-0.16446051,0.058435593,0.118208095,1.0,0.0117,0.1043,-0.8214,0.1635,-0.0025,0.1493,0.4608,-0.000867,0.20926817,0.07424446,-0.236882,0.42857143,2.944439,0.0089,15.938572,0.0,0.6931472,0.0,0.0,0.6931472,-0.033630677,0.6931472,0.0,0.6931472,0.0,0.6931472,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1272404,0.1272404,0.0,0.1272404,0.0,0.1272404,0.0,0.1272404,0.0,0.1272404,0.0,0.0,0.1272404,0.0,0.0,0.0,0.0,0.0,0.0
200000016284.0,2012-11-16,0.0,2012.0,0.07322272,河南省,,,,0.0,,,0.0,0.0,1.0,,18.92515,0.0,1.0,0.0,0.0,2.0794415,4.564348,0.0,,,0.029037029,-0.018759286,-0.72820807,-1.0972968,-2.4936697,3.0,0.2628,0.4162,,,0.1649,0.1396,0.2268,0.013292,,,,,,,,,2.0794415,0.0,0.0,2.0794415,-0.03544161,2.7080503,0.0,2.8903718,0.0,3.0910425,0.0,3.0910425,0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0794415,2.7080503,0.0,2.8903718,0.0,3.0910425,0.0,3.0910425,0.0,2.0794415,0.0,0.0,2.0794415,0.0,0.0,0.0,0.0,0.0,0.0
200000016285.0,2012-11-16,0.0,2012.0,0.07322272,河南省,,,,0.0,,,0.0,0.0,1.0,,18.464483,0.0,1.0,0.0,0.0,0.0,4.564348,0.0,,,0.029037029,-0.018759286,-0.72820807,-1.0972968,-2.4936697,1.0,0.2628,0.4162,,,0.1649,0.1396,0.2268,0.013292,,,,,,,,,,,0.0,0.0,-0.03544161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000016286.0,2012-11-16,0.0,2012.0,0.07322272,河南省,,,,0.0,,,0.0,0.0,1.0,,19.23285,0.0,1.0,0.0,0.0,0.0,4.564348,0.0,,,0.029037029,-0.018759286,-0.72820807,-1.0972968,-2.4936697,2.0,0.2628,0.4162,,,0.1649,0.1396,0.2268,0.013292,,,,,,,,,0.0,0.0,0.0,0.0,-0.03544161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000016288.0,2012-04-18,0.0,2012.0,0.0043844962,山东省,0.61206526,0.024163,-0.04443292,0.0,0.3846154,2.3025851,0.0,1.0,1.0,0.0,16.523273,0.0,0.0,0.0,0.0,0.0,3.0910425,0.0,14.83326,C29,-0.044375885,-0.18452984,-0.1944023,-0.30068853,-0.64974546,1.0,0.4214,0.2777,,,0.5259,0.6599,0.1892,0.028164,0.61206526,-0.04443292,,0.3846154,2.3025851,,,3.1780539,,,0.0,0.0,-0.039740145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000016289.0,2012-04-18,0.0,2012.0,0.0043844962,山东省,0.61206526,0.024163,-0.04443292,0.0,0.3846154,2.3025851,0.0,1.0,1.0,0.0,15.675976,0.0,0.0,0.0,0.0,0.0,3.0910425,0.0,14.83326,C29,-0.044375885,-0.18452984,-0.1944023,-0.30068853,-0.64974546,2.0,0.4214,0.2777,,,0.5259,0.6599,0.1892,0.028164,0.61206526,-0.04443292,,0.3846154,2.3025851,,,3.1780539,,,0.0,0.0,-0.039740145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
